,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Argentina,2.167352516533213,1.1999495563701141,-0.7188730557896083,0.29902049275802023,-1.0904969048806183,-0.3660759870131565,-0.04063092753631858,0.08536791202258073,0.04064465652906153,-0.4399050511740351,-0.3608409361510622,0.2575986372930378
Belize,-0.49729841852529455,-0.4230744802387354,0.38695918125953194,0.5461757767373212,1.1337864961594053,-0.4487875387811149,-0.024490249471399106,0.18039109260587077,0.3425213122244222,-0.6969217687694774,-0.021351633921486816,-0.0527781641003444
Bolivia,-1.7492531285486113,0.07309860619895438,-1.142040390075943,-0.39354244641838876,-0.3102441581800414,-1.3385085028894739,0.026478580576465873,-1.5284687349196333,-0.0009952910836563047,-0.13687787601265405,0.4399595206703383,0.1639928599692728
Brazil,-0.018353510376753604,-0.496643698526612,0.3076378554404544,0.9267439702549055,-0.8594078041995961,0.5529719960530046,-0.2697585595252741,0.49013336297055315,0.24594262567146255,-0.3134574026127801,0.05464805026180129,0.3506998509891924
Chile,4.130715737537134,0.30685984200436367,0.11286125830411646,0.03845748054466581,-0.7790824172574928,-0.016915383457583442,0.1067968135709409,0.29030679868900233,0.45486499764715466,1.051051484029709,-0.1291699219167108,-0.0814157176868321
Colombia,0.43089293643638255,-0.09495583930853307,0.6916803566076911,1.4836372266493136,-0.4107124404002766,0.5585644732082374,-1.2541810046771833,0.3708059344315679,0.582199250954608,0.15973881228472941,0.2962428969943149,0.03026051374628145
Costa Rica,3.0095256817094347,-1.12686476734676,0.6519552676700119,0.6147649973742074,-0.3085766255585344,0.652301786804387,0.9587923066232661,0.5303022076347336,0.08681993802343839,-0.3753307563958841,0.30124671939655484,0.10439978211277372
Cuba,1.3686526657002716,1.5486793924767643,-0.7825330689155661,-1.269754058283135,0.7642095156981773,-1.797963267671894,0.22048113850863815,-0.2704006165588963,0.9586306000290706,0.0878090193590547,-0.13162203090585972,-0.20963001390779837
Dominican Republic,1.2345253814074042,-1.1629950914714642,0.9573544319474179,-0.7474355294755453,1.7194619227913859,-0.06777221652761198,1.0771372500069665,0.025856445825405274,-0.39335148790630486,-0.44390472962084426,-0.2608983937713676,0.13563887986479137
Ecuador,-0.17201185440490155,0.5720683779892367,0.41461379761354267,-0.894529745892651,0.2539898251199333,0.03182998612622421,-0.8242171604102115,0.4950898044799473,0.009842677953085988,-0.009956493965655058,-0.08928061981856618,0.13951236549780804
El Salvador,-0.8137170343528651,-0.41823070441339005,-0.6671710936359639,-0.5005754771712858,0.5580549254105996,-1.057461114330742,-0.39416178793806017,0.7682493539941231,-0.8372966856543512,0.2605700611977703,0.2452919212221199,-0.08900428923331709
Guatemala,-3.119962182988996,-1.3299888748846704,0.3841286391962036,-2.2209286407920827,-0.9722555944197857,0.5183423048590168,0.4795978986985597,0.020835588654201244,-0.559234040246304,0.46535690021873694,-0.0016684970209803322,0.017703907429973815
Guyana,0.3615652137399665,-1.1981374905793507,-0.06966761041488082,1.995815121883638,-0.46740125270961913,0.07240160305246053,-0.28509390981484184,-1.3539487252185942,-0.6560450551872606,-0.04719177796516055,-0.07995053779647442,-0.12359548443718886
Haiti,-3.7940621552702143,-2.513178888644454,-0.44048604949943004,2.4080609709338283,0.26795635949700214,-1.0875021163745777,0.21930979418316918,0.23309601598934004,0.33777743755787004,0.5465567345486019,-0.2976301381657637,-0.11310482112010774
Honduras,-3.3792812114953326,-1.1537617257754098,1.6127287601029345,-1.5419523510158846,-0.870462192471868,1.4241220432816046,0.4421493386417234,-0.27420911319884306,0.9231113640971153,-0.07721384056805508,-0.0426316218851461,-0.13114125792680364
Jamaica,0.29557712166519834,0.23308625370081132,1.9674331663468598,-0.3090714825135619,2.3656167949415017,0.45035626636703713,-1.505945494290932,-0.5137318016627733,0.04037089563255519,-0.037709837901067605,0.06282492412893796,-0.10018749390727293
Mexico,-0.4518916746842013,0.8668763603492766,0.11014360921738284,-0.6313838045166669,-0.7018575322280408,0.26314781155872474,-1.293280650287865,-0.6052574773055235,-0.5357020627466037,0.11903906903401326,-0.3875032940268637,0.22237533629919898
Nicaragua,-1.7645562965546198,0.05662547410074337,-0.9087307524724108,-0.33619611839276026,-0.33255695621529846,-0.7789142366585069,-0.4005054869459045,1.777398166818799,-0.3575633976379706,-0.4108013152514718,0.009391116513799026,-0.13776596073383177
Panama,2.563180007908515,0.46007311784387694,0.0029086203725762275,-0.05223538861659582,-1.3671844079395514,0.7002658079928539,-0.12313973506267016,-0.2224968817125201,-0.47435366668911483,-0.5018920309691257,-0.0019667229335411304,-0.6113226436950397
Paraguay,-0.5420073712604777,0.45338920179445463,-3.9854401724113417,0.04820565399078936,1.5026080958193826,2.5979127051394673,0.18085545830781163,-0.05507244399615381,0.14477716644162114,0.13760630020854547,-0.0021472373725221973,-0.0005547282990255322
Peru,0.14320600096238012,0.6925629560120207,-0.5335703141401821,-0.7560900892582562,-0.7047977176052652,-0.5392078451329448,-0.33126111469097685,-0.024951699375155394,0.24315182348662567,0.15812875797125245,0.23416648961572814,0.09629621586856778
Suriname,0.0649341859457992,-0.17140681627080084,-0.512030610209383,-0.04744453210150701,-0.415639090586094,-0.5907932605922799,0.9509065844330528,-0.5080921962450563,0.21143920418039808,-0.4608591680309562,-0.016310987106857175,0.029504083175925355
Uruguay,3.793877941864596,-1.0454402289383686,0.6100625736660812,-0.2078373617279455,0.7680689819223301,-0.1013091736957528,0.7814718855455289,-0.03867261142865591,-0.45238504552027897,0.6888639709647357,0.12146857059529438,0.11179846223364297
Venezuela,-3.2616105529480577,4.6714094675579085,1.5500755998198976,1.5480953350495943,0.2569221772923761,0.3689938586826115,1.3026890315555104,0.12746961750563165,-0.35516721775666454,0.27730093942002765,0.057732363394316755,-0.009280319432877576
